cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
4,MANGALAM,3,DJEACOUMAR .C,All India N.R. Congress,16600,372,16972,50.89
4,MANGALAM,4,M. Ganapathy,Amma Makkal Munnettra Kazagam,189,6,195,0.58
4,MANGALAM,5,M. SUBRAMANI,Makkal Needhi Maiam,278,1,279,0.84
4,MANGALAM,6,S. Patchaiappan,Desiya Murpokku Dravida Kazhagam,84,1,85,0.25
4,MANGALAM,7,B. BHARATHKALAI,Naam Tamilar Katchi,829,9,838,2.51
4,MANGALAM,8,Manavalan,Indiya Jananayaka Katchi,17,0,17,0.05
4,MANGALAM,9,A EGAMBARAM,Independent,37,0,37,0.11
4,MANGALAM,10,P. CANNANE,Independent,205,1,206,0.62
4,MANGALAM,11,M. Karthick,Independent,32,0,32,0.1
4,MANGALAM,12,NOTA,None of the Above,364,3,367,1.1
5,VILLIANUR,1,R. SIVA,Dravida Munnetra Kazhagam,19316,337,19653,55.73
5,VILLIANUR,2,S.V. SUGUMARAN,All India N.R. Congress,12370,333,12703,36.02
5,VILLIANUR,3,R. ARUMUGAM @ SARAVANAN,Janata Dal  (United),20,0,20,0.06
5,VILLIANUR,4,KUMARAVEL,Amma Makkal Munnettra Kazagam,160,2,162,0.46
5,VILLIANUR,5,THIAGU,Indiya Jananayaka Katchi,16,1,17,0.05
5,VILLIANUR,6,A. FAZIL,Desiya Murpokku Dravida Kazhagam,43,0,43,0.12
5,VILLIANUR,7,A. BANUMATHI,Makkal Needhi Maiam,600,9,609,1.73
5,VILLIANUR,8,PRAVEENA,Naam Tamilar Katchi,1172,10,1182,3.35
5,VILLIANUR,9,R. RAMPRASATH,Puducherry Development  Party,77,4,81,0.23
5,VILLIANUR,10,C. GUEDJENDIRANE,Independent,27,3,30,0.09
5,VILLIANUR,11,S. SHANMUGASUNDARAM,Independent,67,1,68,0.19
5,VILLIANUR,12,P. THANAMOUTTOU,Independent,73,0,73,0.21
5,VILLIANUR,13,A. MATHIVANAN,Independent,19,1,20,0.06
5,VILLIANUR,14,V. MARAN,Independent,35,0,35,0.1
5,VILLIANUR,15,N. DJEAMOURTHY,Independent,92,0,92,0.26
5,VILLIANUR,16,NOTA,None of the Above,470,8,478,1.36
6,OZHUKARAI,1,R. Sheeshapillai,Bahujan Samaj Party,87,0,87,0.27
6,OZHUKARAI,2,N.G. PANNIR SELVAM,All India N.R. Congress,10775,346,11121,34
6,OZHUKARAI,3,Angalane @ Deva Pozhilan,Viduthalai Chiruthaigal Katchi,5479,154,5633,17.22
6,OZHUKARAI,4,EJOUMALE,Amma Makkal Munnettra Kazagam,144,3,147,0.45
6,OZHUKARAI,5,S. CHITRAKALA,Janata Dal  (United),22,0,22,0.07
6,OZHUKARAI,6,V. THANGAMANI,Puducherry Development  Party,51,1,52,0.16
6,OZHUKARAI,7,S. Datchanamoorthy,Indiya Jananayaka Katchi,20,0,20,0.06
6,OZHUKARAI,8,R. Pazhanivelan,Makkal Needhi Maiam,1159,26,1185,3.62
6,OZHUKARAI,9,S. PRIYA,Naam Tamilar Katchi,1144,13,1157,3.54
6,OZHUKARAI,10,MOTHILAL .S,Communist Party of India  (Marxist-Leninist)  (Liberation),154,4,158,0.48
6,OZHUKARAI,11,Gilbert,Desiya Murpokku Dravida Kazhagam,72,7,79,0.24
6,OZHUKARAI,12,A. Santhi,Independent,99,1,100,0.31
6,OZHUKARAI,13,M. Sivasankar,Independent,11794,146,11940,36.5
6,OZHUKARAI,14,Sivasankaran,Independent,279,3,282,0.86
6,OZHUKARAI,15,A S Ramesh,Independent,95,0,95,0.29
6,OZHUKARAI,16,N. JEEVANANDAM,Independent,183,5,188,0.57
6,OZHUKARAI,17,NOTA,None of the Above,432,12,444,1.36
7,KADIRGAMAM,1,P. Selvanadane,Indian National Congress,5409,120,5529,20.47
7,KADIRGAMAM,2,K.S.P @ S. RAMESH,All India N.R. Congress,17359,416,17775,65.82
7,KADIRGAMAM,3,S. Ganesan,Amma Makkal Munnettra Kazagam,181,3,184,0.68
7,KADIRGAMAM,4,S. Sathiyavel,Indiya Jananayaka Katchi,148,2,150,0.56
7,KADIRGAMAM,5,Subasri,Naam Tamilar Katchi,2227,39,2266,8.39
7,KADIRGAMAM,6,S. Motcharajan,Desiya Murpokku Dravida Kazhagam,220,1,221,0.82
7,KADIRGAMAM,7,NOTA,None of the Above,859,21,880,3.26
8,INDIRA NAGAR,1,V. AROUMOUGAME @ AKD,All India N.R. Congress,21223,618,21841,74.77
8,INDIRA NAGAR,2,M. Kannan,Indian National Congress,3239,71,3310,11.33
8,INDIRA NAGAR,3,K. Ezhumalai,Desiya Murpokku Dravida Kazhagam,153,3,156,0.53
8,INDIRA NAGAR,4,D. Ejoumale,Indiya Jananayaka Katchi,147,5,152,0.52
8,INDIRA NAGAR,5,P. SAKTHIVEL,Makkal Needhi Maiam,1199,19,1218,4.17
8,INDIRA NAGAR,6,T. Devika,Naam Tamilar Katchi,1758,16,1774,6.07
8,INDIRA NAGAR,7,D. Mohan,Amma Makkal Munnettra Kazagam,81,2,83,0.28
8,INDIRA NAGAR,8,S. Karthigayan,Independent,109,0,109,0.37
8,INDIRA NAGAR,9,NOTA,None of the Above,560,9,569,1.95
9,THATTANCHAVADY,1,K. SETHU @ SETHU SELVAM,Communist Party of India,7355,167,7522,31.89
9,THATTANCHAVADY,2,N. Rangasamy,All India N.R. Congress,12646,332,12978,55.02
9,THATTANCHAVADY,3,R. Shanmugam,Indiya Jananayaka Katchi,41,1,42,0.18
9,THATTANCHAVADY,4,S.T. NARASSINGAM,Desiya Murpokku Dravida Kazhagam,101,2,103,0.44
9,THATTANCHAVADY,5,D. Ramesh,Naam Tamilar Katchi,1167,16,1183,5.02
9,THATTANCHAVADY,6,R. Rajendhiran,Makkal Needhi Maiam,1013,16,1029,4.36
9,THATTANCHAVADY,7,VIMALA SREE. B.,Amma Makkal Munnettra Kazagam,60,1,61,0.26
9,THATTANCHAVADY,8,C. ANUSUYA,Independent,124,4,128,0.54
9,THATTANCHAVADY,9,L. MANIKANDAN,Independent,46,2,48,0.2
9,THATTANCHAVADY,10,K. MURUGAN,Independent,52,2,54,0.23
9,THATTANCHAVADY,11,NOTA,None of the Above,417,21,438,1.86
10,KAMARAJ NAGAR,1,A. JOHNKUMAR,Bharatiya Janata Party,16303,384,16687,56.11
10,KAMARAJ NAGAR,2,M.O.H.F. SHAJAHAN,Indian National Congress,9208,250,9458,31.8
10,KAMARAJ NAGAR,3,N. NADARAJAN @ SELVA,Desiya Murpokku Dravida Kazhagam,117,2,119,0.4
10,KAMARAJ NAGAR,4,L. MUNISAMY,Amma Makkal Munnettra Kazagam,430,16,446,1.5
10,KAMARAJ NAGAR,5,N. SHARMILA BEGUM,Naam Tamilar Katchi,1955,27,1982,6.66
10,KAMARAJ NAGAR,6,ANANDARAJ,Independent,119,2,121,0.41
10,KAMARAJ NAGAR,7,SIVA. ILANGO,Independent,81,4,85,0.29
10,KAMARAJ NAGAR,8,S. SAGAYARAJ,Independent,70,0,70,0.24
10,KAMARAJ NAGAR,9,VPR. SELVAM,Independent,113,2,115,0.39
10,KAMARAJ NAGAR,10,NOTA,None of the Above,636,22,658,2.21
