cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
101,MARIANI,2,Rupjyoti Kurmi,Indian National Congress,47093,215,47308,49.36
101,MARIANI,3,Gopal Chandra Ghatuwar,Asom Songrami Mancha(Asom),1602,10,1612,1.68
101,MARIANI,4,NOTA,None of the Above,2048,8,2056,2.15
102,TEOK,1,PALLABI GOGOI,Indian National Congress,45752,453,46205,44.48
102,TEOK,2,RENUPOMA RAJKHOWA,Asom Gana Parishad,47121,434,47555,45.78
102,TEOK,3,RUBI NEOG,Lok Jan Shakti Party,1057,52,1109,1.07
102,TEOK,4,KABINDRA CHETIA PHUKAN,Independent,5923,33,5956,5.73
102,TEOK,5,SIMANTA KUMAR DUTTA,Independent,1110,10,1120,1.08
102,TEOK,6,NOTA,None of the Above,1904,23,1927,1.86
103,AMGURI,1,Angkita Dutta,Indian National Congress,43315,397,43712,42.08
103,AMGURI,2,PRODIP HAZARIKA,Asom Gana Parishad,49420,471,49891,48.03
103,AMGURI,3,Chandra Boruah,Assam Jatiya Parishad,6882,105,6987,6.73
103,AMGURI,4,Pradip Hazarika,Independent,1011,11,1022,0.98
103,AMGURI,5,Rajkumar Duwara,Independent,953,6,959,0.92
103,AMGURI,6,NOTA,None of the Above,1301,12,1313,1.26
104,NAZIRA,1,Debabrata Saikia,Indian National Congress,44715,0,44715,48.53
104,NAZIRA,2,Mayur Borgohain,Bharatiya Janata Party,42290,0,42290,45.9
104,NAZIRA,3,Ribulaya Gogoi,Assam Jatiya Parishad,2479,0,2479,2.69
104,NAZIRA,4,Horen Borgohain,All India Forward Bloc,537,0,537,0.58
104,NAZIRA,5,Mintu Boruah,Independent,906,0,906,0.98
104,NAZIRA,6,NOTA,None of the Above,1212,0,1212,1.32
105,MAHMARA,1,BIMAN BORUAH,Nationalist Congress Party,688,5,693,0.61
105,MAHMARA,2,JOGEN MOHAN,Bharatiya Janata Party,50899,383,51282,45.18
105,MAHMARA,3,SURUJ DEHINGIA,Indian National Congress,37908,239,38147,33.61
105,MAHMARA,4,BHUPEN PHUKON,All India Forward Bloc,594,1,595,0.52
105,MAHMARA,5,MANIK GOGOI,Assam Jatiya Parishad,11287,70,11357,10.01
105,MAHMARA,6,RANJIT SAHU,Independent,638,4,642,0.57
105,MAHMARA,7,LOHIT GOGOI,Independent,9405,36,9441,8.32
105,MAHMARA,8,NOTA,None of the Above,1338,2,1340,1.18
106,SONARI,1,DHARMESWAR KONWAR,Bharatiya Janata Party,69247,443,69690,48
106,SONARI,2,SUSHIL KUMAR SURI,Indian National Congress,54346,227,54573,37.59
106,SONARI,3,GAUTOM HATIMURIA,Assam Jatiya Parishad,16738,61,16799,11.57
106,SONARI,4,RATAN HEMROM,Independent,1613,4,1617,1.11
106,SONARI,5,NOTA,None of the Above,2501,9,2510,1.73
107,THOWRA,1,KUSHAL DOWARI,Bharatiya Janata Party,45613,407,46020,47.49
107,THOWRA,2,SUSHANTA BORGOHAIN,Indian National Congress,47643,383,48026,49.56
107,THOWRA,3,DIPEN TANTI,Assam Jatiya Parishad,1662,43,1705,1.76
107,THOWRA,4,NOTA,None of the Above,1140,6,1146,1.18
108,SIBSAGAR,1,Ajit Hazarika,Nationalist Congress Party,373,0,373,0.34
108,SIBSAGAR,2,Subhramitra Gogoi,Indian National Congress,16094,0,16094,14.85
108,SIBSAGAR,3,Surabhi Rajkonwari,Bharatiya Janata Party,39812,0,39812,36.74
108,SIBSAGAR,4,AKHIL GOGOI,Independent,50402,0,50402,46.52
108,SIBSAGAR,5,RUPA BORAH,Independent,718,0,718,0.66
108,SIBSAGAR,6,Hemanta Boruah,Independent,372,0,372,0.34
108,SIBSAGAR,7,NOTA,None of the Above,583,0,583,0.54
109,BIHPURIA,1,DR. AMIYA KUMAR BHUYAN,Bharatiya Janata Party,53407,0,53407,48.62
109,BIHPURIA,2,BHUPEN KUMAR BORAH,Indian National Congress,43900,0,43900,39.97
109,BIHPURIA,3,ACHYUT SAIKIA (MADHAB),Assam Jatiya Parishad,6008,0,6008,5.47
109,BIHPURIA,4,SHOBHESHWAR GOGOI,Voters Party  International,681,0,681,0.62
109,BIHPURIA,5,ANUP SAIKIA,Independent,2336,0,2336,2.13
109,BIHPURIA,6,TULESWAR PEGU,Independent,1687,0,1687,1.54
109,BIHPURIA,7,PREMADHAR BORA,Independent,659,0,659,0.6
109,BIHPURIA,8,MOHIM BANIA,Independent,412,0,412,0.38
109,BIHPURIA,9,NOTA,None of the Above,746,0,746,0.68
110,NAOBOICHA,1,JAYANTA KHAUND,Asom Gana Parishad,20023,276,20299,23.47
110,NAOBOICHA,2,DIPAK SAIKIA,Nationalist Congress Party,327,11,338,0.39
110,NAOBOICHA,3,BIRI JOY,National People's Party,2036,5,2041,2.36
110,NAOBOICHA,4,BHARAT CHANDRA NARAH,Indian National Congress,23129,208,23337,26.98
110,NAOBOICHA,5,ANUPAM CHUTIA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),328,1,329,0.38
110,NAOBOICHA,6,UBAIDUR RAHMAN,Rashtriya Ulama Council,290,0,290,0.34
110,NAOBOICHA,7,PUTALI KAYASTHA,Assam Jatiya Parishad,1079,28,1107,1.28
110,NAOBOICHA,8,BIKASH DEBNATH,Bharatiya Gana Parishad,1744,18,1762,2.04
110,NAOBOICHA,9,AJIJUR RAHMAN,Independent,9878,136,10014,11.58
110,NAOBOICHA,10,ABDUL GOFFUR,Independent,598,1,599,0.69
110,NAOBOICHA,11,SAHEBA AHMED,Independent,507,3,510,0.59
110,NAOBOICHA,12,RAO GAJENDRA SINGH,Independent,24566,100,24666,28.52
110,NAOBOICHA,13,NOTA,None of the Above,1189,10,1199,1.39
111,LAKHIMPUR,1,UTPAL DUTTA,Asom Gana Parishad,7310,118,7428,7.6
111,LAKHIMPUR,2,DR. JOY PRAKASH DAS (J.P.),Indian National Congress,43078,386,43464,44.46
111,LAKHIMPUR,3,MANAB DEKA,Bharatiya Janata Party,42314,355,42669,43.65
111,LAKHIMPUR,4,DILWAR HUSSAIN,Voters Party  International,520,3,523,0.53
111,LAKHIMPUR,5,BIRINCHI PEGU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),299,4,303,0.31
111,LAKHIMPUR,6,RANJAN BORPATRA GOHAIN,Assam Jatiya Parishad,1813,23,1836,1.88
111,LAKHIMPUR,7,NIRMAL PAYENG,Independent,745,5,750,0.77
111,LAKHIMPUR,8,NOTA,None of the Above,779,8,787,0.81
112,DHAKUAKHANA,1,NABA KUMAR DOLEY,Bharatiya Janata Party,20963,0,20963,56.69
112,DHAKUAKHANA,2,PADMALOCHAN DOLEY,Indian National Congress,13720,0,13720,37.1
