cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
130,NEDUMANGAD,5,IRSHAD KANYAKULANGARA,SOCIAL DEMOCRATIC PARTY OF INDIA,1867,17,1884,1.23
130,NEDUMANGAD,6,EBINU. S,Independent,132,14,146,0.1
130,NEDUMANGAD,7,THATHANKODU KANNAN,Independent,165,5,170,0.11
130,NEDUMANGAD,8,PRASANTH. C S/o CHANDRAN. K,Independent,145,15,160,0.1
130,NEDUMANGAD,9,HARI VELLANADU,Independent,126,0,126,0.08
130,NEDUMANGAD,10,NOTA,None of the Above,903,14,917,0.6
131,VAMANAPURAM,1,Anad Jayan,Indian National Congress,61071,1824,62895,42.92
131,VAMANAPURAM,2,Adv. D. K. Murali,Communist Party of India  (Marxist),70468,2669,73137,49.91
131,VAMANAPURAM,3,Santhosh T.,Bahujan Samaj Party,542,10,552,0.38
131,VAMANAPURAM,4,Ajmal Ismail,SOCIAL DEMOCRATIC PARTY OF INDIA,2314,11,2325,1.59
131,VAMANAPURAM,5,Ashokan T.  Vamanapuram,Ambedkarite Party of India,294,7,301,0.21
131,VAMANAPURAM,6,Thazhava Sahadevan,Bharath Dharma Jana Sena,5511,92,5603,3.82
131,VAMANAPURAM,7,Attukal Aji,Independent,397,23,420,0.29
131,VAMANAPURAM,8,Navas C. M.,Independent,101,33,134,0.09
131,VAMANAPURAM,9,Bharathanoor Maniraj,Independent,129,3,132,0.09
131,VAMANAPURAM,10,R. Murali,Independent,293,17,310,0.21
131,VAMANAPURAM,11,NOTA,None of the Above,695,21,716,0.49
132,KAZHAKKOOTTAM,1,Kadakampally Surendran,Communist Party of India  (Marxist),62176,1514,63690,46.04
132,KAZHAKKOOTTAM,2,Kochumani,Bahujan Samaj Party,370,7,377,0.27
132,KAZHAKKOOTTAM,3,Dr. S. S. Lal,Indian National Congress,32198,797,32995,23.85
132,KAZHAKKOOTTAM,4,Sobha Surendran,Bharatiya Janata Party,39504,689,40193,29.06
132,KAZHAKKOOTTAM,5,Lalumon,Independent,111,1,112,0.08
132,KAZHAKKOOTTAM,6,V. Sasikumaran Nair,Independent,123,6,129,0.09
132,KAZHAKKOOTTAM,7,Syamlal,Independent,85,0,85,0.06
132,KAZHAKKOOTTAM,8,Adv. Sen A. G.,Independent,71,5,76,0.05
132,KAZHAKKOOTTAM,9,NOTA,None of the Above,655,13,668,0.48
